'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:00.000',-0.079,-0.357,-0.278,0.217,0.100,-0.317,-0.090,-0.057,-0.059,-0.120,-0.210,-0.158,-0.259,-0.278,0.032
'0:00.001',-0.081,-0.358,-0.277,0.219,0.098,-0.318,-0.089,-0.056,-0.064,-0.124,-0.211,-0.160,-0.260,-0.272,0.030
'0:00.002',-0.081,-0.358,-0.277,0.220,0.098,-0.318,-0.090,-0.058,-0.064,-0.123,-0.209,-0.158,-0.260,-0.271,0.029
'0:00.003',-0.079,-0.352,-0.273,0.215,0.098,-0.313,-0.090,-0.059,-0.064,-0.123,-0.207,-0.156,-0.259,-0.270,0.027
'0:00.004',-0.077,-0.350,-0.272,0.213,0.098,-0.310,-0.089,-0.059,-0.064,-0.122,-0.208,-0.157,-0.260,-0.272,0.025
'0:00.005',-0.075,-0.344,-0.270,0.209,0.098,-0.307,-0.089,-0.059,-0.065,-0.120,-0.205,-0.155,-0.261,-0.275,0.024
'0:00.006',-0.077,-0.339,-0.261,0.208,0.092,-0.300,-0.092,-0.061,-0.067,-0.121,-0.207,-0.156,-0.261,-0.272,0.023
'0:00.007',-0.075,-0.341,-0.266,0.207,0.096,-0.303,-0.091,-0.060,-0.066,-0.121,-0.206,-0.157,-0.262,-0.268,0.024
'0:00.008',-0.066,-0.332,-0.266,0.199,0.100,-0.298,-0.088,-0.059,-0.065,-0.121,-0.205,-0.154,-0.262,-0.264,0.024
'0:00.009',-0.059,-0.316,-0.256,0.187,0.099,-0.286,-0.088,-0.059,-0.065,-0.119,-0.203,-0.151,-0.260,-0.257,0.022
'0:00.010',-0.062,-0.320,-0.257,0.191,0.097,-0.288,-0.090,-0.060,-0.067,-0.121,-0.204,-0.152,-0.261,-0.257,0.021
'0:00.011',-0.066,-0.323,-0.257,0.194,0.096,-0.289,-0.092,-0.063,-0.068,-0.121,-0.203,-0.153,-0.261,-0.257,0.020
'0:00.012',-0.065,-0.320,-0.255,0.192,0.096,-0.287,-0.092,-0.064,-0.068,-0.121,-0.202,-0.153,-0.260,-0.254,0.020
'0:00.013',-0.067,-0.331,-0.264,0.199,0.099,-0.297,-0.089,-0.062,-0.066,-0.123,-0.208,-0.153,-0.262,-0.262,0.024
'0:00.014',-0.069,-0.338,-0.269,0.203,0.100,-0.303,-0.089,-0.061,-0.066,-0.123,-0.206,-0.157,-0.263,-0.266,0.026
'0:00.015',-0.076,-0.341,-0.264,0.208,0.094,-0.302,-0.093,-0.066,-0.072,-0.129,-0.212,-0.163,-0.264,-0.264,0.029
'0:00.016',-0.079,-0.348,-0.268,0.213,0.095,-0.308,-0.093,-0.067,-0.073,-0.131,-0.213,-0.163,-0.265,-0.266,0.029
'0:00.017',-0.075,-0.343,-0.268,0.208,0.097,-0.305,-0.093,-0.066,-0.071,-0.127,-0.209,-0.159,-0.262,-0.259,0.028
