'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:00.000',-0.192,0.104,0.296,0.043,-0.244,0.201,-0.716,0.245,1.185,0.272,-0.074,0.274,-0.022,0.122,0.388
'0:00.001',-0.190,0.107,0.297,0.041,-0.243,0.203,-0.721,0.244,1.185,0.270,-0.075,0.270,-0.024,0.128,0.388
'0:00.002',-0.194,0.108,0.302,0.043,-0.248,0.206,-0.719,0.242,1.185,0.272,-0.077,0.265,-0.025,0.130,0.390
'0:00.003',-0.196,0.110,0.306,0.043,-0.251,0.208,-0.719,0.243,1.187,0.271,-0.083,0.262,-0.025,0.131,0.394
'0:00.004',-0.201,0.106,0.307,0.047,-0.254,0.207,-0.717,0.244,1.188,0.273,-0.081,0.261,-0.025,0.128,0.397
'0:00.005',-0.200,0.102,0.302,0.049,-0.251,0.203,-0.711,0.244,1.192,0.273,-0.078,0.264,-0.025,0.128,0.396
'0:00.006',-0.195,0.105,0.301,0.044,-0.248,0.203,-0.707,0.243,1.200,0.270,-0.080,0.262,-0.021,0.136,0.395
'0:00.007',-0.189,0.111,0.300,0.039,-0.244,0.205,-0.704,0.241,1.208,0.266,-0.082,0.262,-0.018,0.144,0.392
'0:00.008',-0.188,0.113,0.301,0.037,-0.244,0.207,-0.711,0.241,1.208,0.265,-0.084,0.259,-0.019,0.141,0.393
'0:00.009',-0.191,0.117,0.308,0.037,-0.249,0.212,-0.723,0.242,1.198,0.270,-0.084,0.257,-0.022,0.132,0.396
'0:00.010',-0.185,0.122,0.308,0.032,-0.246,0.215,-0.729,0.242,1.192,0.272,-0.083,0.259,-0.023,0.131,0.395
'0:00.011',-0.188,0.117,0.305,0.035,-0.247,0.211,-0.728,0.243,1.190,0.275,-0.080,0.260,-0.024,0.129,0.395
'0:00.012',-0.188,0.114,0.302,0.037,-0.245,0.208,-0.726,0.245,1.191,0.275,-0.077,0.261,-0.024,0.127,0.393
'0:00.013',-0.186,0.113,0.299,0.036,-0.243,0.206,-0.723,0.247,1.192,0.275,-0.075,0.264,-0.024,0.126,0.391
'0:00.014',-0.182,0.117,0.299,0.033,-0.241,0.208,-0.723,0.246,1.191,0.272,-0.075,0.265,-0.024,0.127,0.389
'0:00.015',-0.180,0.120,0.301,0.030,-0.241,0.211,-0.726,0.245,1.190,0.271,-0.079,0.261,-0.025,0.127,0.389
'0:00.016',-0.186,0.116,0.302,0.035,-0.244,0.209,-0.731,0.246,1.183,0.276,-0.078,0.263,-0.026,0.120,0.390
'0:00.017',-0.192,0.111,0.302,0.041,-0.247,0.207,-0.733,0.246,1.177,0.280,-0.079,0.264,-0.028,0.111,0.394
'0:00.018',-0.194,0.108,0.302,0.043,-0.248,0.205,-0.724,0.247,1.179,0.280,-0.077,0.265,-0.028,0.114,0.393
'0:00.019',-0.192,0.104,0.296,0.043,-0.244,0.201,-0.712,0.247,1.188,0.275,-0.075,0.267,-0.025,0.122,0.388
'0:00.020',-0.195,0.099,0.293,0.048,-0.244,0.197,-0.706,0.247,1.194,0.273,-0.076,0.265,-0.024,0.125,0.388
